a good deal	- много
abandon	- оставить, забросить
abate	- уменьшаться, ослабевать
abduct	- похищать
abide	- смириться, выносить
able	- способный, могущий
abnormal	- ненормальный, аномальный
aboard	- на борту
abolish	- упразднять
abort	- прерывать
abound	- изобиловать
about	- примерно
abroad	- за границу
abrupt	- крутой, резкий
absent	- отсутствующий
absorb	- впитывать, поглощать
abundant	- обильный
abuse	- злоупотреблять
abuse	- оскорблять, бранить, брань
abuse	- насилие, домогательство
accelerate	- ускорять
accept	- принять
access	- доступ
accessory	- принадлежность, аксессуар
accident	- случайность
accident	- происшествие, напр. ДТП
acclaim	- приветствовать, аплодировать
accommodate	- размещать, вмещать
accompany	- сопровождать
accomplish	- выполнить, завершить
accord	- согласие
according to	- в соответствии
account	- отчёт
account for	- объяснить (произошедшее)
account	- счёт (в банке)
accurate	- точный
accuse	- обвинять
accustom	- приучить
ache	- боль, болеть
achieve	- достигать
acid	- кислота
acknowledge	- признавать, подтверждать
acquaint	- знакомить
acquire	- обретать
acquit	- оправдать (в суде)
across	- за, через
act	- действовать
act on	- действовать в соответствии
act up	- не работать как надо
acute	- острый
adamant	- непреклонный
add to	- увеличивать
add up	- сходиться (об информации)
addict	- наркоман, привыкать
addition	- добавление, сложение
adhere	- придерживаться
adjacent	- смежный, прилегающий
adjective	- прилагательное
adjust	- настраивать, поправлять и т.д.
admire	- восхищаться
admit	- признавать, допускать
adolescent	- подросток, подростковый
adopt	- принимать, перенимать
adopt	- усыновить или взять (животное)
adore	- обожать
adorn	- украшать
adult	- взрослый
adultery	- прелюбодеяние, неверность
advance	- продвигаться, продвижение
advantage	- преимущество
adventure	- приключение
adverb	- наречие
adversary	- противник, соперник
adverse	- неблагоприятный
advertise	- рекламировать
advice	- совет (неисчисл!)
advise	- советовать
advocate	- защищать, отстаивать
aerial	- воздушный
aerial	- антенна
affair	- дело
affair	- роман, любовная история
affect	- воздействовать
affection	- привязанность, влечение
affiliate	- филиал, отделение, мл. партнёр
affirm	- утверждать, подтверждать
afflict	- поражать, вредить
affluent	- обеспеченный, состоятельный
afford	- позволить себе
afraid	- напуганный
after all	- всё-таки, в конце концов
aftermath	- последствие, результат
age	- возраст
age	- век, эпоха
agenda	- повестка дня
aggravate	- обострять
aggregate	- совокупный
agile	- проворный, гибкий
agitate	- волновать
agree	- соглашаться
agreement	- соглашение, договор
agriculture	- сельское хозяйство
ahead	- вперёд, впереди
aid	- помощь, помогать
ailment	- недомогание, болезнь
aim	- цель
air	- вид, впечатление
airborne	- находящийся в воздухе
aircraft	- самолёт, авиация
airline	- авиалиния
aisle	- проход
akin	- похожий
alarm	- тревога, сигнализация
alas	- увы
albeit	- хотя
alert	- тревога, бдительный
alien	- чужак, пришелец, иммигрант
alienate	- отчуждать, отдалять, отвергать
align	- выравнивать, выстраивать
alike	- подобно
alive	- живой
all along	- всё время
allege	- утверждать, приписывать
allegiance	- верность
allocate	- распределять (ресурсы)
allot	- выделять, отводить
allow	- разрешать
allow for	- выделять, рассчитывать
allowance	- выплата, пособие
allude	- намекать, указывать
allure	- очарование, очаровывать
ally	- союзник
almost	- почти
alone	- в одиночестве
alongside	- рядом
aloud	- вслух
alter	- изменять
alternate	- чередовать, чередующийся
although	- хотя и
altitude	- высота
altogether	- в целом
amateur	- любитель, любительский
amaze	- поражать, изумлять
ambassador	- посол
amber	- янтарь
ambiguous	- двусмысленный, неоднозначный
ambulance	- скорая помощь
ambush	- засада
amend	- исправить, улучшить
amenity	- удобство, обустройство
amid	- среди
ammunition	- боеприпасы
amount	- количество (неисчисл.)
ample	- обильный, широкий
amplify	- усиливать
amuse	- развлечь, порадовать
ancestor	- предок
anchor	- якорь, закреплять
ancient	- древний
anew	- заново
anger	- гнев
angle	- угол, угловой
angry	- злой
anguish	- мука, страдание
animate	- живой, одушевлённый, оживлять
ankle	- лодыжка, щиколотка
anniversary	- годовщина
announce	- объявлять
annoy	- раздражать, надоедать
annual	- ежегодный
ant	- муравей
anthem	- гимн
anticipate	- ожидать
antique	- старинный
anxiety	- беспокойство, тревога
anxious	- озабоченный, встревоженный
anymore	- больше не
anytime	- в любой момент
anyway	- в любом случае
anywhere	- где угодно, куда угодно
apart	- отдельно, врозь
apart from	- помимо
apartment	- квартира
ape	- обезьяна (крупная)
apiece	- каждый, за штуку
apology	- извинение(я)
appal	- потрясать, ужасать
apparent	- явный, видимый
appeal	- обращаться, взывать
appear	- появиться
appear	- казаться
applause	- аплодисменты
appliance	- прибор, приспособление
apply	- обращаться (с заявлением)
apply	- применять, применяться
appoint	- назначать, утверждать
appraise	- оценивать
appreciate	- ценить
apprentice	- ученик, стажёр
approach	- приближаться, подходить
appropriate	- подходящий, присущий
appropriate	- присвоить
approve	- утвердить, одобрить (офиц.)
approve of	- одобрять (субъективно)
approximate	- приблизительный
apron	- фартук, передник
apt	- склонный, способный
aquatic	- водный
arbitrary	- произвольный
arc	- дуга
arch	- арка, изгибать
archive	- архив
area	- область, участок
argue	- спорить, доказывать
arise	- возникать, происходить
arm	- рука
armor	- броня, доспехи
arms	- оружие
arouse	- вызывать, пробуждать
arrange	- организовать, уладить и т.д.
array	- ряд, порядок, строй
arrest	- задерживать, тормозить
arrive	- прибывать
arrogant	- высокомерный
arrow	- стрела, стрелка
arson	- поджог
article	- статья
article	- вещь, изделие
artificial	- искусственный
as though	- как будто
as well	- также
as well as	- так же как и
ascend	- восходить
ascertain	- выяснить, установить
ash	- пепел, зола
ashamed	- пристыженный
ashtray	- пепельница
aside	- в стороне, в сторону
aside from	- кроме
ask around	- поспрашивать
ask out	- пригласить сходить
asleep	- спящий
aspire	- стремиться
ass	- жопа
assassin	- убивать
assault	- нападение, нападать
assemble	- собирать
assert	- утверждать, отстаивать
assess	- оценить
asset	- актив, имущество
assign	- назначать, присваивать
assimilate	- усваивать
assist	- помогать
associate	- общаться, связываться
assume	- предпогалать
assume	- принимать на себя
assure	- уверять
astonish	- изумлять
astound	- изумлять
asylum	- убежище
at all	- совсем
at first	- сначала
at last	- наконец
at least	- по крайней мере
at odds with	- в противоречии, в конфликте
at once	- сразу
at the moment	- сейчас
atop	- наверху
atrocity	- зверство, злодеяние
attach	- прикрепить, привязать
attack	- нападать, нападение
attain	- достигать
attempt	- попытка, пытаться
attend	- уделить внимание, посетить
attic	- чердак
attitude	- отношение
attorney	- адвокат, прокурор, поверенный
attract	- привлекать, притягивать
attribute	- приписывать, относить
audible	- слышимый
audience	- аудитория (люди)
augment	- увеличить, нарастить
aunt	- тётя
authorities	- органы власти
authority	- власть
authorize	- дать полномочия, поручение
available	- доступный, в наличии
avalanche	- лавина
average	- средний
avert	- предотвращать, отводить
avid	- заядлый, рьяный, алчный
avoid	- избегать
await	- ожидать
awake	- проснуться, бодрствующий
award	- награда, премия, присуждать
aware	- осведомлённый
awe	- трепет, благоговение
awesome	- здорово, классно
awful	- ужасный
awhile	- какое-то время
awkward	- неуклюжий
axe	- топор
axis	- ось
bachelor	- холостяк
bachelor	- бакалавр
back down	- отступить, отказаться
back then	- тогда
back up	- поддержать, прикрыть
backbone	- хребет
backdrop	- фон
background	- фон
background	- происхождение, предыстория и т.д.
backpack	- рюкзак
badge	- значок
baffled	- в неодумении, в тупике
bag	- сумка, мешок
bait	- приманка
bake	- печь (выпекать)
bald	- лысый, плешивый
bale	- тюк
balloon	- воздушный шар
ballot	- госолование, бюллетень
ban	- запрещать
band	- ансамбль
bandage	- повязка
bang	- удар, взрыв
banish	- отгонять
bank	- берег (реки, озера)
bank on	- надеяться, полагаться
bankrupt	- банкрот, неплатежеспособный
banner	- знамя, транспарант
baptize	- крестить
bar	- пластина, брусок, прут и т. д.
bar	- загораживать
barb	- шип, зазубрина
barber	- парикмахер
bare	- голый
barefoot	- босиком
barely	- едва, лишь только
bargain	- сделка, торговаться
bark	- лаять
bark	- кора
barn	- сарай
barrel	- barrel
barren	- бесплодный
bartender	- бармен
base	- основа, основывать
basement	- подвал
bash	- колотить
bash in	- разбить, расколотить
basket	- корзина
bastard	- ублюдок
bat	- летучая мышь
bat	- бита
batch	- партия, серия, группа
bath	- ванна
bathe	- купаться, купать
batter	- паста, тесто, взбивать
battle	- битва
bay	- залив
be after	- иметь целью
be back	- возвращаться
be engaged	- помолвленный (ая)
be into	- заниматься, увлекаться
be keen to	- желать, стремиться
be late	- опоздать
be off	- отсутствовать
be on fire	- гореть
be over	- закончиться
be up to	- замышлять что-то
bead	- шарик, бусинка
beak	- клюв
beam	- луч
beam	- балка, перекладина
bean	- боб
bear	- нести, втч перен.
bear	- рожать
beard	- борода
beast	- зверь, животное, скот
beat	- бить
beat up	- побить
beat	- победить
beauty	- красота или красавица
beaver	- бобр
beckon	- манить
become of	- случиться с к-л впоследствии
beef	- говядина
beep	- гудок, гудеть, пищать
beetle	- жук
beforehand	- заранее
beg	- просить
behave	- вести себя
behavior	- поведение
behold	- созерцать, видеть
beige	- бежевый
belief	- убеждение, вера
bell	- колокол, колокольчик
bellow	- реветь, рёв
belly	- живот
belong to	- принадлежать
beloved	- любимый
below	- ниже, под
belt	- пояс
bench	- скамейка
bend	- изгибать, изгиб
beneath	- ниже, под
